Rank,Team,Home_Games,Home_Total,Home_Average,Away_Games,Away_Average,Away _Total,Total_Games,2023_Total_Payroll,Overall_Average,Win_Percent,Win_Percentage_Rank,Roster
20,Arizona,81,1961182,24212,81,30560,2475360,162,119257651,27386,0.519,12,27
5,Atlanta,81,3191505,39401,79,29991,2369289,160,206239131,34755,0.642,1,29
21,Baltimore,81,1936798,23911,81,29420,2383020,162,71061047,26665,0.623,2,28
11,Boston,81,2672130,32989,81,29546,2393226,162,182926796,31267,0.481,19,28
9,Chicago Cubs,81,2775149,34261,81,32722,2650482,162,188909358,33491,0.512,14,28
24,Chicago White Sox,78,1669628,21405,80,27598,2207840,158,162863836,24541,0.377,27,28
18,Cincinnati,81,2038310,25164,81,28641,2319921,162,96577288,26902,0.506,15,28
23,Cleveland,78,1834068,23513,80,26438,2115040,158,91861627,24994,0.469,21,28
13,Colorado,81,2607935,32196,81,29608,2398248,162,171026607,30902,0.364,28,28
26,Detroit,77,1612876,20946,80,26845,2147600,157,121494514,23952,0.481,19,28
7,Houston,81,3052347,37683,81,28780,2331180,162,237107748,33231,0.556,6,28
28,Kansas City,81,1307052,16136,79,27052,2137108,160,96083853,21526,0.346,29,28
12,LA Angels,81,2640575,32599,80,31402,2512160,161,230534276,32004,0.451,24,29
1,LA Dodgers,81,3837079,47371,80,32291,2583280,161,240278296,39878,0.617,3,28
29,Miami,81,1162819,14355,79,29530,2332870,160,105435809,21848,0.519,12,28
15,Milwaukee,81,2551317,31497,81,30340,2457540,162,125338345,30919,0.568,5,27
19,Minnesota,81,1974124,24371,81,27249,2207169,162,156104540,25810,0.537,11,28
14,NY Mets,78,2573555,32994,81,29855,2418255,159,343605067,31395,0.463,23,28
3,NY Yankees,80,3269016,40862,81,32573,2638413,161,278651150,36692,0.506,15,28
30,Oakland,81,832352,10275,81,26711,2163591,162,62243227,18493,0.309,30,28
6,Philadelphia,80,3052605,38157,79,30348,2397492,159,245419295,34277,0.556,6,30
25,Pittsburgh,81,1630624,20131,81,29919,2423439,162,75695975,25025,0.469,21,28
2,San Diego,81,3271554,40389,81,31552,2555712,162,256045688,35970,0.506,15,28
17,San Francisco,81,2500153,30866,81,31362,2540322,162,187398165,31114,0.488,18,28
10,Seattle,81,2690418,33215,81,28250,2288250,162,127966903,30732,0.543,10,28
4,St. Louis,81,3241091,40013,81,28138,2279178,162,153793028,34076,0.438,25,28
27,Tampa Bay,81,1440301,17781,81,28075,2274075,162,79354272,22928,0.611,4,28
16,Texas,81,2533062,31272,81,25922,2099682,162,251332754,28597,0.556,6,28
8,Toronto,81,3021904,37307,80,28851,2308080,161,214630885,33105,0.549,9,28
22,Washington,81,1865832,23034,80,29230,2338400,161,93378663,26113,0.438,25,28